" 1000.0"," 248044800"
" 1000.0"," 98469800"
" 1000.0"," 105909000"
" 1000.0"," 18015800"
" 1000.0"," 38338800"
" 1000.0"," 8187100"
" 1000.0"," 70488500"
" 1000.0"," 25236400"
" 1000.0"," 30265400"
" 1000.0"," 65484100"
" 10000.0"," 164200300"
" 10000.0"," 773302400"
" 10000.0"," 263523800"
" 10000.0"," 636848100"
" 10000.0"," 375381800"
" 10000.0"," 20891000"
" 10000.0"," 206528800"
" 10000.0"," 224227500"
" 10000.0"," 121973800"
" 10000.0"," 579048700"
" 100000.0"," 2461420400"
" 100000.0"," 3275068000"
" 100000.0"," 3946970500"
" 100000.0"," 4791073500"
" 100000.0"," 4741205200"
" 100000.0"," 7769761800"
" 100000.0"," 8819638500"
" 100000.0"," 10372687400"
" 100000.0"," 7646289500"
" 100000.0"," 9403619800"
" 1000000.0"," 15591688200"
" 1000000.0"," 23374805200"
" 1000000.0"," 19962022300"
" 1000000.0"," 21255205900"
" 1000000.0"," 26684352300"
" 1000000.0"," 20521597500"
" 1000000.0"," 21380348700"
" 1000000.0"," 22086498900"
" 1000000.0"," 24924782900"
" 1000000.0"," 20086474900"
" 1.0E7"," 65159990100"
" 1.0E7"," 37366061400"
" 1.0E7"," 96694847400"
" 1.0E7"," 87954319500"
" 1.0E7"," 45543073700"
" 1.0E7"," 63486028200"
" 1.0E7"," 70686323200"
" 1.0E7"," 53623878800"
" 1.0E7"," 24076019000"
" 1.0E7"," 35014036400"
" 1.0E8"," 48095861100"
" 1.0E8"," 58394080400"
" 1.0E8"," 107763259800"
" 1.0E8"," 117077028300"
" 1.0E8"," 153013158400"
" 1.0E8"," 112540003700"
" 1.0E8"," 129977005000"
" 1.0E8"," 198439663400"
" 1.0E8"," 130368934800"
" 1.0E8"," 85450566700"
