Array Size,First Run,Average of Remaining 9 Runs
1000,0.017462894,0.0013422598888888889
10000,0.022583736,0.0025701286666666664
100000,0.090903679,0.02551492011111111
1000000,0.313817343,0.22964858211111108
10000000,2.527420918,2.389322267666666
100000000,29.373691742,29.88523590266667
